141,Mateusz,Makowski
142,Tomasz,Marciniak
143,Maja,Pietrzak
144,Natalia,Baran
145,Robert,Glowacki
146,Marcel,Wasilewski
147,Damian,Kwiatkowski
148,Dorota,Wieczorek
149,Marcel,Mazur
150,Rafal,Szewczyk
151,Wojciech,Marciniak
152,Maja,Marciniak
153,Antonina,Wasilewski
154,Dawid,Krol
155,Dominik,Krawczyk
156,Wiktor,Wieczorek
157,Maciej,Kaczor
158,Krzysztof,Makowski
159,Weronika,Marciniak
160,Dawid,Sadowski
161,Hubert,Wasilewski
162,Wiktor,Zawadzki
163,Blanka,Ziolkowska
164,Kamil,Dabrowski
165,Franciszek,Makowski
166,Wiktor,Mazur
167,Kamil,Witkowski
168,Grzegorz,Olszewski
169,Martyna,Majewska
170,Mateusz,Krol
171,Krzysztof,Kubiak
172,Weronika,Mazur
173,Karol,Kowalczyk
174,Michal,Przybylski
175,Jakub,Wojciechowski
176,Agata,Glowacka
177,Dariusz,Mazur
178,Barbara,Czarnecka
179,Patrycja,Mroz
180,Mateusz,Sikori
181,Kamila,Michalska
182,Martyna,Sawicki
183,Daria,Olszewska
184,Nikola,Majewska
185,Mikolaj,Tomaszewski
186,Sebastian,Nowak
187,Dorota,Piotrowski
188,Monika,Wojcik
189,Arkadiusz,Krawczyk
190,Robert,Dabrowski
191,Grzegorz,Majewski
192,Antonina,Nowakowska
193,Magdalena,Sobolewski
194,Bartosz,Baranowski
195,Szymon,Kwiatkowski
196,Kinga,Wojciechowska
197,Dorota,Klimek
198,Jakub,Kowalski
199,Filip,Glowacki
200,Laura,Wasilewska
201,Daria,Mazurek
202,Marcel,Wrobel
203,Antoni,Brzezinski
204,Karolina,Bednarczyk
205,Dominik,Laskowski
206,Magdalena,Sawicki
207,Amelia,Kaminska
208,Antoni,Mazur
209,Kamil,Lewandowski
210,Szymon,Pawlak
211,Barbara,Kowalewska
212,Karolina,Mazurek
213,Wojciech,Wojciechowski
214,Karol,Wozniak
215,Oliwier,Lewandowski
216,Igor,Kubiak
217,Nikola,Wieczorek
218,Julia,Mazur
219,Weronika,Makowska
220,Tomasz,Stepinski
221,Stanislaw,Kubiak
222,Blazej,Wisniewski
223,Michal,Pietrzak
224,Tomasz,Wisniewski
225,Mikolaj,Wojciechowski
226,Dominik,Sikori
227,Michal,Czarnecki
228,Jakub,Sikori
229,Blanka,Michalak
230,Monika,Gajewska
231,Franciszek,Szymanski
232,Dawid,Szewczyk
233,Ksawery,Ziolkowski
234,Kornel,Baran
235,Zuzanna,Sadowska
236,Jan,Kaczmarek
237,Patryk,Piotrowski
238,Weronika,Gorska
239,Weronika,Pietrzak
240,Filip,Ostrowski
241,Dariusz,Kaczmarczyk
242,Zuzanna,Kowalczyk
243,Julia,Wrobel
244,Piotr,Zielinski
245,Filip,Sadowski
246,Paulina,Baran
247,Marcel,Jablonski
248,Magdalena,Piotrowska
249,Kacper,Ziolkowski
250,Daria,Wieczorek
251,Maria,Marciniak
252,Blanka,Krawczyk
253,Rafal,Lis
254,Kornelia,Mroz
255,Monika,Lis
256,Ksawery,Gajewski
257,Julia,Wasilewski
258,Marcel,Brzezinski
259,Maciej,Laskowski
260,Szymon,Borkowski
261,Piotr,Majewski
262,Mateusz,Zielinski
263,Blazej,Mazur
264,Michal,Nowakowski
265,Blazej,Kwiatkowski
266,Kornelia,Krajewska
267,Maja,Wojciechowska
268,Hanna,Baran
269,Zuzanna,Kowalczyk
270,Kinga,Wasilewski
271,Jakub,Mazurek
272,Szymon,Zajac
273,Nikola,Duda
274,Oliwier,Mazur
275,Mateusz,Szymanski
276,Rafal,Glowacki
277,Antonina,Mazurek
278,Zofia,Dudek
279,Kamil,Wieczorek
280,Gabriela,Laskowska
281,Patryk,Gorski
282,Ignacy,Piotrowski
283,Michal,Urbaniak
284,Agata,Marciniak
285,Dominika,Wrobel
286,Piotr,Wojciechowski
287,Karol,Stepinski
288,Marcel,Gajewski
289,Krzysztof,Dabrowski
290,Wojciech,Kowalczyk
291,Magdalena,Zajac
292,Grzegorz,Przybylski
293,Hubert,Walczak
294,Dominik,Wasilewski
295,Nikola,Krawczyk
296,Magdalena,Lis
297,Maja,Walczak
298,Franciszek,Kubiak
299,Dorota,Sobolewski
300,Oliwier,Kurek
301,Alicja,Klimek
302,Magdalena,Stepinska
303,Piotr,Dabrowski
304,Klaudia,Mazur
305,Monika,Sobolewski
306,Blazej,Kowalewski
307,Kornelia,Zajac
308,Krzysztof,Czarnecki
309,Tymoteusz,Borkowski
310,Magdalena,Wrobel
311,Arkadiusz,Wlodarczyk
312,Arkadiusz,Sobolewski
313,Kornel,Zawadzki
314,Zofia,Witkowska
315,Arkadiusz,Gorski
316,Justyna,Michalak
317,Jakub,Mroz
318,Maja,Baranowska
319,Patrycja,Mazur
320,Justyna,Krawczyk
321,Adam,Sawicki
322,Barbara,Piotrowski
323,Tomasz,Gorski
324,Weronika,Olszewska
325,Ksawery,Wojciechowski
326,Norbert,Kaminski
327,Magdalena,Michalak
328,Sara,Lis
329,Dariusz,Leszczynski
330,Ksawery,Wojcik
331,Paulina,Pietrzak
332,Monika,Grabowska
333,Paulina,Mroz
334,Lena,Glowacka
335,Blanka,Czarnecka
336,Zofia,Majewska
337,Daria,Szewczyk
338,Mikolaj,Zielinski
339,Dominik,Kozlowski
340,Dorota,Bednarczyk
341,Hubert,Krajewski
342,Dorota,Makowska
343,Filip,Szewczyk
344,Dawid,Sikori
345,Karolina,Jankowska
346,Hanna,Wrobel
347,Bartosz,Dudi
348,Aleksandra,Sadowska
349,Julia,Szewczyk
350,Bartosz,Michalski
351,Dawid,Zakrzewski
352,Maria,Stepinska
353,Lena,Pawlak
354,Blazej,Kaczmarek
355,Kamil,Baranowski
356,Julia,Dabrowska
357,Piotr,Piotrowski
358,Paulina,Wozniak
359,Szymon,Stepinski
360,Sara,Dudek
361,Antoni,Kowalski
362,Antonina,Zajac
363,Grzegorz,Przybylski
364,Franciszek,Sawicki
365,Igor,Kubiak
366,Lena,Kowalik
367,Ksawery,Wlodarczyk
368,Anna,Szewczyk
369,Marcel,Krol
370,Arkadiusz,Dudi
371,Arkadiusz,Kaminski
372,Antoni,Nowakowski
373,Barbara,Pawlak
374,Hanna,Kaminska
375,Agata,Sadowska
376,Dominik,Bednarczyk
377,Robert,Tomaszewski
378,Stanislaw,Kowalewski
379,Blazej,Kaczmarczyk
380,Wojciech,Pawlowicz
381,Oliwier,Kwiatkowski
382,Monika,Jankowska
383,Natalia,Wozniak
384,Patryk,Kaczmarczyk
385,Julia,Bednarczyk
386,Dominik,Sobolewski
387,Laura,Pawlak
388,Blanka,Bednarczyk
389,Kamila,Michalska
390,Filip,Zakrzewski
391,Stanislaw,Sobolewski
392,Anna,Majewska
393,Dominik,Krawczyk
394,Grzegorz,Michalski
395,Wiktoria,Gajewska
396,Rafal,Kowalczyk
397,Oliwia,Michalska
398,Maciej,Gorski
399,Wiktor,Glowacki
400,Sebastian,Mazur
401,Adam,Ziolkowski
402,Jakub,Wozniak
403,Ignacy,Wrobel
404,Adam,Mazur
405,Emilia,Sikorska
406,Stanislaw,Witczak
407,Norbert,Klimek
408,Hubert,Nowicki
409,Piotr,Laskowski
410,Robert,Przybylski
411,Justyna,Majewska
412,Julia,Pawlak
413,Lukasz,Wieczorek
414,Julia,Kaczor
415,Dawid,Zakrzewski
416,Tomasz,Sobolewski
417,Barbara,Lewandowska
418,Amelia,Gajewska
419,Maria,Kozlowska
420,Dominik,Walczak
421,Dominika,Sobolewski
422,Zuzanna,Wlodarczyk
423,Jakub,Dudi
424,Karol,Nowak
425,Maria,Blaszczyk
426,Blazej,Sobolewski
427,Oliwier,Sawicki
428,Bartosz,Maj
429,Damian,Ostrowski
430,Antonina,Wlodarczyk
431,Karolina,Malinowska
432,Mikolaj,Witkowski
433,Daria,Pawlak
434,Antoni,Witczak
435,Hubert,Nowicki
436,Robert,Lis
437,Barbara,Nowakowska
438,Kornelia,Brzezinska
439,Lukasz,Wlodarczyk
440,Rafal,Kaczmarczyk
441,Jan,Krajewski
442,Patryk,Wasilewski
443,Antoni,Sobolewski
444,Julia,Sikorska
445,Mateusz,Witczak
446,Damian,Piotrowski
447,Norbert,Kaczmarczyk
448,Jan,Mroz
449,Julia,Dabrowska
450,Kornelia,Wieczorek
